0.004712 11143.049609	  4.71238898e-03             -nan            0	  4.71238898e-03             -nan            0	  4.71238898e-03             -nan            0
0.190066 2589.320954	  1.90066356e-01   6.15057416e+03         6078	  1.90066356e-01   7.95934822e+03         6078	  1.90066356e-01   1.33375460e+04         6078
0.193208 2519.586054	  1.93207948e-01   6.05230011e+03         5280	  1.93207948e-01   7.79253706e+03         5280	  1.93207948e-01   1.33595925e+04         5280
0.196350 2421.976666	  1.96349541e-01   5.73589190e+03         6866	  1.96349541e-01   7.44467943e+03         6866	  1.96349541e-01   1.30129590e+04         6866
0.199491 2351.661473	  1.99491134e-01   5.90130657e+03         5904	  1.99491134e-01   7.63021957e+03         5904	  1.99491134e-01   1.32139267e+04         5904
0.202633 2315.591153	  2.02632726e-01   5.66001741e+03         6702	  2.02632726e-01   7.35215052e+03         6702	  2.02632726e-01   1.32064504e+04         6399
0.205774 2272.050132	  2.05774319e-01   5.70963779e+03         6404	  2.05774319e-01   7.39947585e+03         6404	  2.05774319e-01   1.30112465e+04         6116
0.208916 2215.625746	  2.08915911e-01   5.53986045e+03         7398	  2.08915911e-01   7.21177000e+03         7398	  2.08915911e-01   1.24061610e+04         6468
0.212058 2177.969257	  2.12057504e-01   5.52515780e+03         6852	  2.12057504e-01   7.17697617e+03         6852	  2.12057504e-01   1.29990545e+04         5832
0.215199 2156.562018	  2.15199097e-01   5.25722053e+03         7902	  2.15199097e-01   6.84389282e+03         7902	  2.15199097e-01   1.25141019e+04         6288
0.218341 2114.533215	  2.18340689e-01   5.42025019e+03         6992	  2.18340689e-01   7.07425736e+03         6992	  2.18340689e-01   1.29058625e+04         5396
0.221482 2048.152901	  2.21482282e-01   5.19862343e+03         8202	  2.21482282e-01   6.78888508e+03         8202	  2.21482282e-01   1.22264232e+04         5784
0.224624 1987.448257	  2.24623875e-01   5.14935916e+03         7656	  2.24623875e-01   6.68078020e+03         7656	  2.24623875e-01   1.18452037e+04         5376
0.227765 1944.949912	  2.27765467e-01   5.08160300e+03         8798	  2.27765467e-01   6.56563018e+03         8798	  2.27765467e-01   1.16385248e+04         5720
0.230907 1914.052842	  2.30907060e-01   5.00022886e+03         7908	  2.30907060e-01   6.46386052e+03         7908	  2.30907060e-01   1.12156836e+04         4908
0.234049 1887.459412	  2.34048653e-01   4.94387844e+03         9246	  2.34048653e-01   6.38707851e+03         9246	  2.34048653e-01   1.17255826e+04         5148
0.237190 1858.237788	  2.37190245e-01   4.88831342e+03         8304	  2.37190245e-01   6.43591174e+03         8304	  2.37190245e-01   1.11864150e+04         4704
0.240332 1825.768276	  2.40331838e-01   4.64289455e+03         9962	  2.40331838e-01   6.15106031e+03         9962	  2.40331838e-01   1.11903275e+04         5012
0.243473 1795.805891	  2.43473431e-01   4.70607510e+03         8664	  2.43473431e-01   6.07830783e+03         8664	  2.43473431e-01   1.08905187e+04         4092
0.246615 1774.466053	  2.46615023e-01   4.71461575e+03        10086	  2.46615023e-01   6.12111256e+03        10086	  2.46615023e-01   1.14988989e+04         4512
0.249757 1767.274506	  2.49756616e-01   4.65424350e+03         9596	  2.49756616e-01   6.09276212e+03         9596	  2.49756616e-01   1.10183025e+04         4052
0.252898 1762.658186	  2.52898209e-01   4.54128623e+03        10638	  2.52898209e-01   5.94126119e+03        10638	  2.52898209e-01   1.05993285e+04         4008
0.256040 1733.463107	  2.56039801e-01   4.55826792e+03         9750	  2.56039801e-01   5.93307094e+03         9750	  2.56039801e-01   1.09421602e+04         3360
0.259181 1686.674415	  2.59181394e-01   4.42112253e+03        11700	  2.59181394e-01   5.76881632e+03        11700	  2.59181394e-01   1.12256107e+04         3960
0.262323 1662.245473	  2.62322987e-01   4.40682757e+03        10358	  2.62322987e-01   5.82631035e+03        10358	  2.62322987e-01   1.09597530e+04         3176
0.265465 1659.143997	  2.65464579e-01   4.26236429e+03        11604	  2.65464579e-01   5.55278628e+03        11604	  2.65464579e-01   1.10006647e+04         3180
0.268606 1635.400247	  2.68606172e-01   4.26181334e+03        10998	  2.68606172e-01   5.62161328e+03        10998	  2.68606172e-01   1.12922085e+04         2640
0.271748 1584.378014	  2.71747765e-01   4.29804454e+03        12464	  2.71747765e-01   5.68808005e+03        12464	  2.71747765e-01   1.11468319e+04         2708
0.274889 1535.996839	  2.74889357e-01   4.16687113e+03        11394	  2.74889357e-01   5.48367797e+03        11394	  2.74889357e-01   1.10151293e+04         2172
0.278031 1506.398100	  2.78030950e-01   4.23989904e+03        12648	  2.78030950e-01   5.58706542e+03        12648	  2.78030950e-01   1.07398080e+04         2136
0.281173 1495.983710	  2.81172542e-01   4.11719421e+03        12630	  2.81172542e-01   5.42967012e+03        12630	  2.81172542e-01   1.05880641e+04         1800
0.284314 1494.359730	  2.84314135e-01   4.14840558e+03        13316	  2.84314135e-01   5.50362318e+03        13316	  2.84314135e-01   1.08727978e+04         1763
0.287456 1481.886888	  2.87455728e-01   3.90915966e+03        12366	  2.87455728e-01   5.26966503e+03        12366	  2.87455728e-01   1.02119773e+04         1236
0.290597 1458.326543	  2.90597320e-01   3.90894143e+03        13752	  2.90597320e-01   5.23796255e+03        13752	  2.90597320e-01   1.02313145e+04         1212
0.293739 1442.414571	  2.93738913e-01   3.96487629e+03        13202	  2.93738913e-01   5.23872652e+03        13202	  2.93738913e-01   1.00631142e+04          968
0.296881 1434.603781	  2.96880506e-01   3.90697942e+03        14304	  2.96880506e-01   5.22283750e+03        14304	  2.96880506e-01   1.02519660e+04          900
0.300022 1416.926314	  3.00022098e-01   3.85034698e+03        13926	  3.00022098e-01   5.24908051e+03        13926	  3.00022098e-01   1.02555254e+04          720
0.303164 1387.792103	  3.03163691e-01   3.82948931e+03        15140	  3.03163691e-01   5.13100295e+03        15140	  3.03163691e-01   1.05125610e+04          638
0.306305 1362.382586	  3.06305284e-01   3.83618283e+03        14646	  3.06305284e-01   5.14137043e+03        14646	  3.06305284e-01   9.96473900e+03          570
0.309447 1345.760082	  3.09446876e-01   3.81013790e+03        15804	  3.09446876e-01   5.13365175e+03        15804	  3.09446876e-01   9.88565697e+03          492
0.312588 1332.350698	  3.12588469e-01   3.75811726e+03        14934	  3.12588469e-01   5.02396584e+03        14934	  3.12588469e-01   9.78137239e+03          450
0.315730 1319.977165	  3.15730062e-01   3.78327309e+03        16808	  3.15730062e-01   5.05026957e+03        16808	  3.15730062e-01   1.04362274e+04          326
0.318872 1310.161775	  3.18871654e-01   3.61816566e+03        15378	  3.18871654e-01   4.97748411e+03        15378	  3.18871654e-01   8.44638147e+03          258
0.322013 1299.903697	  3.22013247e-01   3.63816961e+03        16872	  3.22013247e-01   4.93646099e+03        16872	  3.22013247e-01   8.98904106e+03          174
0.325155 1281.952417	  3.25154840e-01   3.63337386e+03        16454	  3.25154840e-01   4.96806602e+03        16454	  3.25154840e-01   8.88331984e+03          110
0.328296 1259.243880	  3.28296432e-01   3.57736585e+03        17796	  3.28296432e-01   4.83079715e+03        17796	  3.28296432e-01   8.99992832e+03           90
0.331438 1244.530235	  3.31438025e-01   3.58683130e+03        16830	  3.31438025e-01   4.87141667e+03        16830	  3.31438025e-01   1.03302461e+04          102
0.334580 1238.783177	  3.34579618e-01   3.52185716e+03        18624	  3.34579618e-01   4.76027547e+03        18624	  3.34579618e-01   1.07965985e+04           66
0.337721 1231.027961	  3.37721210e-01   3.61793276e+03        17690	  3.37721210e-01   4.87873282e+03        17690	  3.37721210e-01   8.09282033e+03           38
0.340863 1216.957567	  3.40862803e-01   3.51156353e+03        18744	  3.40862803e-01   4.78894705e+03        18744	  3.40862803e-01   1.04037526e+04           18
0.344004 1199.486249	  3.44004396e-01   3.48991582e+03        18006	  3.44004396e-01   4.77711779e+03        18006	  3.44004396e-01   1.37178241e+04            6
0.347146 1181.939865	  3.47145988e-01   3.46917830e+03        19676	  3.47145988e-01   4.70736718e+03        19676	  3.47145988e-01   2.19988578e+03            1
	  3.50287581e-01   3.45327147e+03        19134	  3.50287581e-01   4.79646327e+03        19134	  3.50287581e-01             -nan            0
